,id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hour,lat,lng
95,96,현대오일뱅크,HD현대오일뱅크㈜직영 장호셀프주유소,서울,광진구,서울 광진구 자양로 37 (자양동),1613,1545,0,1,0,1,0,0,37.53127830000000,127.08583250000000
96,97,S-OIL,정해네트웍스(주)일진주유소,서울,광진구,서울 광진구 동일로 413 (중곡동),1617,1537,0,1,0,0,0,1,37.56354400000001,127.08883040000000
97,98,SK에너지,유니스에너지 자양주유소,서울,광진구,서울 광진구 아차산로 298 (자양동),1698,1638,1,1,0,0,0,1,37.53169200000000,127.07451600000000
98,99,S-OIL,삼호주유소,서울,광진구,서울 광진구 천호대로 809 (광장동),1737,1657,0,1,0,0,0,1,37.54563560000000,127.10373410000000
99,100,SK에너지,강평주유소 ㈜강평텔레콤,서울,광진구,서울 광진구 아차산로 616,1798,1697,1,1,0,0,0,0,37.54761190000000,127.10720510000000
100,101,SK에너지,서서울고속주유소,서울,구로구,서울 구로구 경인로 150 (오류동),1555,1495,0,1,0,0,0,1,37.49167509999999,126.84284180000000
101,102,S-OIL,씨앤에스유통(주) 구로드림주유소,서울,구로구,서울 구로구 경인로 41 (온수동),1555,1495,0,1,0,0,0,0,37.49032450000000,126.82560210000000
102,103,현대오일뱅크,㈜자연에너지 고척주유소,서울,구로구,서울 구로구 고척로 199 (고척동),1555,1495,0,1,0,0,0,0,37.50512730000000,126.85544060000000
103,104,GS칼텍스,(주)한미석유구로그린주유소,서울,구로구,서울 구로구 구로중앙로 76 (구로동),1565,1495,0,1,0,1,0,0,37.49630640000000,126.88844440000000
104,105,SK에너지,구인주유소,서울,구로구,서울 구로구 경인로 558 (구로동),1565,1495,1,1,0,1,1,0,37.50427790000000,126.88609440000000
105,106,현대오일뱅크,신성주유소,서울,구로구,서울 구로구 구로동로 187 (구로제2동),1565,1495,0,1,0,0,0,0,37.49515880000000,126.88238860000000
106,107,SK에너지,SK구로주유소,서울,구로구,서울 구로구 구일로 94 (구로동),1565,1495,1,1,0,0,0,0,37.49360180000000,126.87218900000000
107,108,GS칼텍스,대성산업(주)디큐브주유소,서울,구로구,서울 구로구 경인로 650 (신도림동),1575,1495,1,0,0,0,0,1,37.50788550000000,126.88708740000000
108,109,S-OIL,극동유화(주) 항동주유소,서울,구로구,서울 구로구 서해안로 2154 (항동),1579,1519,0,1,0,0,0,0,37.48343910000000,126.82782790000000
109,110,SK에너지,SK에너지(주)직영 개봉동주유소,서울,구로구,서울 구로구 경인로 290 (개봉동),1627,1564,1,1,0,0,0,0,37.48638990000000,126.85676750000000
110,111,현대오일뱅크,개봉주유소,서울,구로구,서울 구로구 고척로 115 (개봉동),1637,1537,0,1,0,0,0,0,37.50193720000001,126.84681750000000
111,112,현대오일뱅크,HD현대오일뱅크㈜직영 구로셀프주유소,서울,구로구,서울 구로구 시흥대로 531,1649,1579,0,1,0,1,0,1,37.48100270000000,126.89926620000000
112,113,현대오일뱅크,HD현대오일뱅크㈜직영 신구로주유소,서울,구로구,서울 구로구 가마산로 293 (구로동),1669,1598,1,1,0,0,0,0,37.49752230000000,126.89248410000000
113,114,현대오일뱅크,대원셀프주유소,서울,구로구,서울 구로구 개봉로 7,1698,1598,0,1,0,0,0,0,37.48616430000000,126.85615850000000
114,115,현대오일뱅크,JHC에너지,서울,구로구,서울 구로구 시흥대로 539,1863,1783,1,0,0,1,0,0,37.48152660000000,126.89983750000000
115,116,S-OIL,동아주유소,서울,구로구,서울 구로구 도림로 91 (구로동),1898,1698,1,0,0,0,1,0,37.49085090000000,126.89318780000000
116,117,S-OIL,구광주유소,서울,금천구,서울 금천구 서부샛길 674 (가산동),1565,1495,1,1,0,0,0,0,37.48203730000000,126.87517110000000
117,118,SK에너지,(주)화동유업 화동주유소,서울,금천구,서울 금천구 시흥대로 484,1594,1499,0,1,0,0,0,0,37.47679740000000,126.89915960000000
118,119,GS칼텍스,대득에너지(금천셀프주유소),서울,금천구,서울 금천구  시흥대로 81 (시흥동),1635,1535,0,1,0,0,1,1,37.44128050000000,126.90292460000000
119,120,S-OIL,백산주유소,서울,금천구,서울특별시 금천구  시흥대로 174 (시흥동),1635,1535,0,1,0,1,0,0,37.44968560000000,126.90294960000000
120,121,SK에너지,SK에너지(주) 이가주유소,서울,금천구,서울 금천구 시흥대로 441,1638,1539,1,1,0,1,0,0,37.47302890000000,126.89793410000000
121,122,현대오일뱅크,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울,금천구,서울 금천구 독산로 147 (시흥동),1639,1549,0,1,0,0,0,0,37.46050600000000,126.90451620000000
122,123,현대오일뱅크,현대오일뱅크㈜직영 금천제일주유소,서울,금천구,서울 금천구 남부순환로 1410 (독산동),1654,1584,1,1,0,0,0,0,37.48020770000000,126.90748050000000
123,124,GS칼텍스,지에스칼텍스(주)일신주유소,서울,금천구,서울 금천구 시흥대로 118,1665,1575,0,1,0,0,0,0,37.44447390000000,126.90426570000000
124,125,GS칼텍스,이엠석유(주)배꽃나라주유소,서울,노원구,서울 노원구 화랑로 466 (공릉1동),1595,1525,0,1,0,1,0,0,37.62381370000000,127.07350970000000
125,126,GS칼텍스,월계주유소,서울,노원구,서울 노원구 월계로 252 (월계동),1595,1525,0,1,0,1,0,0,37.62477840000000,127.05076590000000
126,127,S-OIL,태릉솔밭주유소,서울,노원구,서울 노원구 노원로 49 (공릉동),1595,1525,0,1,0,0,0,1,37.62596520000000,127.08558970000000
127,128,현대오일뱅크,화랑대주유소,서울,노원구,서울 노원구 화랑로 483,1605,1535,0,1,0,0,0,0,37.61957719999999,127.08063050000000
128,129,현대오일뱅크,(주)정건에너지직영,서울,노원구,서울 노원구 노원로17길 29 (하계동),1605,1535,0,1,0,0,0,0,37.64218800000000,127.07039430000000
